55,10B,69
58,10C,1031
68,10D,1
69,104,27
56,111,26
56,110,10
63,10C,1329
75,10D,2
69,104,28
57,111,26
56,10E,37
56,10C,1226
69,10D,2
56,104,29
56,111,26
57,10C,1173
68,10D,3
69,104,31
57,111,26
56,10B,54
56,10C,1133
69,10D,4
72,104,32
53,111,28
56,110,12
63,10C,1173
70,10D,5
68,104,36
56,111,28
56,10E,36
57,10C,1270
68,10D,6
69,104,34
56,111,29
56,10C,1293
72,10D,7
67,104,37
56,111,29
56,10B,65
57,10C,1315
68,10D,8
71,104,36
54,111,29
56,110,14
57,10C,1313
68,10D,8
57,104,36
56,111,29
57,10E,37
56,10C,1363
68,10D,10
70,104,37
56,111,29
57,10C,1394
